,frac_datapoints_explored,Metrics.ACCURACY_at_datavalues,axis
RandomEvaluator(),0.006,0.7580000162124634,0.006433085051373421
RandomEvaluator(),0.007,0.777999997138977,0.007413626214923604
RandomEvaluator(),0.008,0.6880000233650208,0.00802637937307682
RandomEvaluator(),0.009,0.7260000109672546,0.010669072678979577
RandomEvaluator(),0.01,0.6480000019073486,0.011101938472058759
RandomEvaluator(),0.011,0.593999981880188,0.01131874933724888
RandomEvaluator(),0.012,0.5419999957084656,0.011897901081165103
RandomEvaluator(),0.013,0.6159999966621399,0.011926884149295523
RandomEvaluator(),0.014,0.6439999938011169,0.014302500445305608
RandomEvaluator(),0.015,0.6840000152587891,0.017320846507278973
RandomEvaluator(),0.016,0.6800000071525574,0.0187318273077894
RandomEvaluator(),0.017,0.6940000057220459,0.01879418279403854
RandomEvaluator(),0.018,0.6840000152587891,0.019378269014763742
RandomEvaluator(),0.019,0.6019999980926514,0.019557891521665063
RandomEvaluator(),0.02,0.6079999804496765,0.020138084139783484
RandomEvaluator(),0.021,0.5540000200271606,0.022722342763552165
RandomEvaluator(),0.022,0.5659999847412109,0.02315416340367072
RandomEvaluator(),0.023,0.6380000114440918,0.023154577122424597
RandomEvaluator(),0.024,0.6359999775886536,0.02324338995110973
RandomEvaluator(),0.025,0.6140000224113464,0.023742396624885503
RandomEvaluator(),0.026,0.5720000267028809,0.02529424545123644
RandomEvaluator(),0.027,0.5680000185966492,0.025768053513640064
RandomEvaluator(),0.028,0.5699999928474426,0.026733640825636493
RandomEvaluator(),0.029,0.5680000185966492,0.028199050018179378
RandomEvaluator(),0.03,0.5699999928474426,0.02856127171732586
RandomEvaluator(),0.031,0.5740000009536743,0.02923777488289165
RandomEvaluator(),0.032,0.5720000267028809,0.02959979560084284
RandomEvaluator(),0.033,0.5839999914169312,0.03128505019831075
RandomEvaluator(),0.034,0.621999979019165,0.03166586542450327
RandomEvaluator(),0.035,0.6320000290870667,0.03336131638381006
RandomEvaluator(),0.036,0.6399999856948853,0.03376470875742432
RandomEvaluator(),0.037,0.656000018119812,0.03498286339265801
RandomEvaluator(),0.038,0.6700000166893005,0.03675571065327252
RandomEvaluator(),0.039,0.6660000085830688,0.037821779760729715
RandomEvaluator(),0.04,0.6700000166893005,0.03836471281737435
