sepal.length,sepal.width,petal.length,petal.width,variety
6.3,2.7,1.4,0.3,I. setosa
6.5,2.7,6.1,1.9,I. virginica
5.9,3.6,1.1,0.3,I. setosa
5.4,2.6,1.1,1.4,I. versicolor
6.5,3.2,1.4,1.8,I. versicolor
6.6,3.1,5.3,2.1,I. virginica
6.3,2.8,4.7,1.5,I. versicolor
7.1,3.6,6.3,2.4,I. virginica
5.9,2.6,3.9,1,I. versicolor
7.7,3.5,6.8,2.1,I. virginica
5.9,2.7,4.2,1.5,I. versicolor
5.6,2.9,4,1.8,I. versicolor
5.4,2.3,3.7,0.8,I. versicolor
6.4,3.1,0.9,1.2,I. versicolor
6.5,3.2,5.5,2,I. virginica
6.1,2.9,5,2.1,I. virginica
6.5,2.8,1.1,0.3,I. versicolor
5.5,3,0.8,0.8,I. versicolor
5.5,3,1.7,0.7,I. virginica
5.2,2.7,3.9,0.2,I. setosa
4.7,2.6,3.5,1.3,I. versicolor
6.7,3.4,4.9,1.8,I. versicolor
6.2,2.5,1.4,0.2,I. versicolor
6.4,2.7,5.5,2,I. virginica
5.8,3,1.3,1.6,I. versicolor
6.2,2.5,4.5,1.6,I. versicolor
5.8,3.3,1,0.2,I. setosa
6.1,3.1,5.3,2.1,I. virginica
4.9,2.8,0.7,1.3,I. versicolor
5.6,2.5,4.7,2.1,I. virginica
5.7,2.6,4,1.4,I. versicolor
4.9,2.3,4.1,1.3,I. versicolor
6.5,3.3,1.3,2,I. versicolor
6,2.9,3.9,1.4,I. versicolor
5.6,2.6,1.1,0.2,I. versicolor
5.6,2.6,1.1,0.1,I. setosa
5.7,3,4.1,0.4,I. versicolor
5.7,2.7,3.9,1.7,I. setosa
5,2.5,3.7,1.2,I. versicolor
6.9,3.4,6,2.1,I. virginica
5.8,2.9,4.3,1.5,I. versicolor
5.1,2.1,3.4,1.1,I. versicolor
5.5,3,5.3,2,I. virginica
4.4,2.1,3.1,1,I. versicolor
5.6,3.1,0.8,0.3,I. setosa
6.3,2.9,1.4,1.7,I. versicolor
5.4,2.5,3.5,1.1,I. versicolor
6,2.6,4,1.5,I. versicolor
4.8,3,0.5,1.2,I. setosa
